# nocreadbench arch=wormhole grid=8x9 num_tx=8 repeats=1 mode=stateful sim=1
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness
dist,0,10,0,0,1,1,1,6,1,5,8,64,0,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0601,0x5A5A0202
dist,0,11,0,0,1,1,1,7,1,6,8,64,0,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0701,0x5A5A0202
dist,0,12,0,0,1,1,1,8,1,7,8,64,0,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0801,0x5A5A0202
dist,0,13,0,0,1,1,1,9,1,8,8,64,0,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202
dist,0,14,0,0,1,1,1,1,2,1,8,64,0,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0102,0x5A5A0202
dist,0,15,0,0,1,1,1,1,3,2,8,64,0,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0103,0x5A5A0202
dist,0,16,0,0,1,1,1,1,4,3,8,64,0,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0104,0x5A5A0202
dist,0,17,0,0,1,1,1,1,5,4,8,64,0,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0105,0x5A5A0202
dist,0,18,0,0,1,1,1,1,7,6,8,64,0,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0107,0x5A5A0202
dist,0,19,0,0,1,1,1,1,8,7,8,64,0,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0108,0x5A5A0202
dist,0,20,0,0,1,1,1,1,9,8,8,64,0,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0109,0x5A5A0202
dist,0,21,0,0,1,1,1,1,10,9,8,64,0,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A010A,0x5A5A0202
srcfan,0,22,0,0,1,1,1,2,1,1,8,64,0,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0201,0x5A5A0202
dstspread,0,23,0,0,1,1,1,9,1,8,8,64,0,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202
dstspread,0,24,0,0,1,1,1,9,1,8,8,64,64,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202
dstspread,0,25,0,0,1,1,1,9,1,8,8,64,128,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202
dstspread,0,26,0,0,1,1,1,9,1,8,8,64,512,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202
srcspread,0,27,0,0,1,1,1,9,1,8,8,64,0,0,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202
srcspread,0,28,0,0,1,1,1,9,1,8,8,64,0,64,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202
srcspread,0,29,0,0,1,1,1,9,1,8,8,64,0,128,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202
srcspread,0,30,0,0,1,1,1,9,1,8,8,64,0,512,210,26.250,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202
burst,0,31,0,0,1,1,1,9,1,8,4,64,0,0,118,29.500,0,0,4,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202
burst,0,32,0,0,1,1,1,9,1,8,16,64,0,0,394,24.625,0,0,16,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202
burst,0,33,0,0,1,1,1,9,1,8,64,64,0,0,1498,23.406,0,0,64,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202
burst,0,34,0,0,1,1,1,9,1,8,128,64,0,0,2970,23.203,0,0,128,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202
